"Plot Title: 10767837"
"#","Date Time, GMT-06:00","Temp, °F (LGR S/N: 10767837, SEN S/N: 10767837)","Coupler Detached (LGR S/N: 10767837)","Coupler Attached (LGR S/N: 10767837)","Host Connected (LGR S/N: 10767837)","Stopped (LGR S/N: 10767837)","End Of File (LGR S/N: 10767837)"
393,08/19/15 03:06:52 AM,33.928,,,,,
394,08/19/15 04:06:52 AM,33.928,,,,,
395,08/19/15 05:06:52 AM,33.633,,,,,
396,08/19/15 06:06:52 AM,33.485,,,,,
397,08/19/15 07:06:52 AM,33.485,,,,,
398,08/19/15 08:06:52 AM,33.732,,,,,
399,08/19/15 09:06:52 AM,35.443,,,,,
400,08/19/15 10:06:52 AM,37.702,,,,,
401,08/19/15 11:06:52 AM,38.464,,,,,
402,08/19/15 12:06:52 PM,38.464,,,,,
403,08/19/15 01:06:52 PM,37.798,,,,,
404,08/19/15 02:06:52 PM,37.702,,,,,
405,08/19/15 03:06:52 PM,37.225,,,,,
406,08/19/15 04:06:52 PM,36.651,,,,,
407,08/19/15 05:06:52 PM,35.685,,,,,
408,08/19/15 06:06:52 PM,35.346,,,,,
409,08/19/15 07:06:52 PM,35.103,,,,,
410,08/19/15 08:06:52 PM,34.858,,,,,
411,08/19/15 09:06:52 PM,34.615,,,,,
412,08/19/15 10:06:52 PM,34.565,,,,,
413,08/19/15 11:06:52 PM,34.615,,,,,
414,08/20/15 12:06:52 AM,34.615,,,,,
415,08/20/15 01:06:52 AM,34.419,,,,,
416,08/20/15 02:06:52 AM,34.468,,,,,
417,08/20/15 03:06:52 AM,34.516,,,,,
418,08/20/15 04:06:52 AM,34.419,,,,,
419,08/20/15 05:06:52 AM,34.320,,,,,
420,08/20/15 06:06:52 AM,34.272,,,,,
421,08/20/15 07:06:52 AM,34.371,,,,,
422,08/20/15 08:06:52 AM,34.565,,,,,
423,08/20/15 09:06:52 AM,36.169,,,,,
424,08/20/15 10:06:52 AM,37.846,,,,,
425,08/20/15 11:06:52 AM,38.368,,,,,
426,08/20/15 12:06:52 PM,38.464,,,,,
427,08/20/15 01:06:52 PM,38.084,,,,,
428,08/20/15 02:06:52 PM,37.702,,,,,
429,08/20/15 03:06:52 PM,37.130,,,,,
430,08/20/15 04:06:52 PM,36.459,,,,,
431,08/20/15 05:06:52 PM,35.395,,,,,
432,08/20/15 06:06:52 PM,34.907,,,,,
433,08/20/15 07:06:52 PM,34.516,,,,,
434,08/20/15 08:06:52 PM,34.320,,,,,
435,08/20/15 09:06:52 PM,34.124,,,,,
436,08/20/15 10:06:52 PM,34.124,,,,,
437,08/20/15 11:06:52 PM,34.174,,,,,
438,08/21/15 12:06:52 AM,34.320,,,,,
439,08/21/15 01:06:52 AM,34.419,,,,,
440,08/21/15 02:06:52 AM,34.272,,,,,
441,08/21/15 03:06:52 AM,34.223,,,,,
442,08/21/15 04:06:52 AM,34.124,,,,,
443,08/21/15 05:06:52 AM,34.223,,,,,
444,08/21/15 06:06:52 AM,34.223,,,,,
445,08/21/15 07:06:52 AM,34.272,,,,,
446,08/21/15 08:06:52 AM,34.419,,,,,
447,08/21/15 09:06:52 AM,36.169,,,,,
448,08/21/15 10:06:52 AM,37.702,,,,,
449,08/21/15 11:06:52 AM,38.131,,,,,
450,08/21/15 12:06:52 PM,38.179,,,,,
451,08/21/15 01:06:52 PM,37.942,,,,,
452,08/21/15 02:06:52 PM,37.751,,,,,
453,08/21/15 03:06:52 PM,36.410,,,,,
454,08/21/15 04:06:52 PM,36.025,,,,,
455,08/21/15 05:06:52 PM,35.249,,,,,
456,08/21/15 06:06:52 PM,35.055,,,,,
457,08/21/15 07:06:52 PM,34.761,,,,,
458,08/21/15 08:06:52 PM,34.761,,,,,
459,08/21/15 09:06:52 PM,34.565,,,,,
460,08/21/15 10:06:52 PM,34.516,,,,,
461,08/21/15 11:06:52 PM,34.320,,,,,
462,08/22/15 12:06:52 AM,34.320,,,,,
463,08/22/15 01:06:52 AM,34.272,,,,,
464,08/22/15 02:06:52 AM,34.174,,,,,
465,08/22/15 03:06:52 AM,34.124,,,,,
466,08/22/15 04:06:52 AM,34.027,,,,,
467,08/22/15 05:06:52 AM,33.978,,,,,
468,08/22/15 06:06:52 AM,33.732,,,,,
469,08/22/15 07:06:52 AM,33.534,,,,,
