Serial Number:20425024 --,,,,,
,,,,,
Date Time - GMT -07:00,"Temp, (*F)",Button Down,Button Up,Host Connect,EOF
8/1/18 14:45,33.15, , , , 
8/1/18 15:00,34.23, , , , 
8/1/18 15:15,33.31, , , , 
8/1/18 15:30,32.46, , , , 
8/1/18 15:45,32.07, , , , 
8/1/18 16:00,33.08, , , , 
8/1/18 16:15,33.23, , , , 
8/1/18 16:30,32.46, , , , 
8/1/18 16:45,31.92, , , , 
8/1/18 17:00,31.53, , , , 
8/1/18 17:15,34.31, , , , 
8/1/18 17:30,32.84, , , , 
8/1/18 17:45,32.07, , , , 
8/1/18 18:00,32.38, , , , 
8/1/18 18:15,31.69, , , , 
8/1/18 18:30,31.15, , , , 
8/1/18 18:45,30.84, , , , 
8/1/18 19:00,32.3, , , , 
8/1/18 19:15,31.45, , , , 
8/1/18 19:30,30.84, , , , 
8/1/18 19:45,30.3, , , , 
8/1/18 20:00,29.68, , , , 
8/1/18 20:15,29.14, , , , 
8/1/18 20:30,31.3, , , , 
8/1/18 20:45,32.77, , , , 
8/1/18 21:00,31.69, , , , 
8/1/18 21:15,30.84, , , , 
8/1/18 21:30,30.14, , , , 
8/1/18 21:45,29.52, , , , 
8/1/18 22:00,34.85, , , , 
8/1/18 22:15,32.92, , , , 
8/1/18 22:30,32, , , , 
8/1/18 22:45,36.01, , , , 
8/1/18 23:00,34.47, , , , 
8/1/18 23:15,33.93, , , , 
8/1/18 23:30,33.46, , , , 
8/1/18 23:45,33, , , , 
8/2/18 0:00,34.54, , , , 
8/2/18 0:15,35.7, , , , 
8/2/18 0:30,35.55, , , , 
8/2/18 0:45,34.54, , , , 
8/2/18 1:00,33.77, , , , 
8/2/18 1:15,34.16, , , , 
8/2/18 1:30,35.62, , , , 
8/2/18 1:45,35.62, , , , 
8/2/18 2:00,35.08, , , , 
8/2/18 2:15,36.47, , , , 
8/2/18 2:30,37.71, , , , 
8/2/18 2:45,37.48, , , , 
8/2/18 3:00,36.63, , , , 
8/2/18 3:15,35.7, , , , 
8/2/18 3:30,34.77, , , , 
8/2/18 3:45,34, , , , 
8/2/18 4:00,35.08, , , , 
8/2/18 4:15,36.32, , , , 
8/2/18 4:30,35.7, , , , 
8/2/18 4:45,34.7, , , , 
8/2/18 5:00,33.93, , , , 
8/2/18 5:15,35.39, , , , 
8/2/18 5:30,36.47, , , , 
8/2/18 5:45,35.55, , , , 
8/2/18 6:00,34.62, , , , 
8/2/18 6:15,34.31, , , , 
8/2/18 6:30,35.62, , , , 
8/2/18 6:45,36.4, , , , 
8/2/18 7:00,35.7, , , , 
8/2/18 7:15,35.01, , , , 
8/2/18 7:30,34.23, , , , 
8/2/18 7:45,33.46, , , , 
8/2/18 8:00,33, , , , 
8/2/18 8:15,32.92, , , , 
8/2/18 8:30,33.08, , , , 
8/2/18 8:45,37.86, , , , 
8/2/18 9:00,37.55, , , , 
8/2/18 9:15,36.47, , , , 
8/2/18 9:30,36.09, , , , 
8/2/18 9:45,36.4, , , , 
8/2/18 10:00,37.71, , , , 
8/2/18 10:15,37.94, , , , 
8/2/18 10:30,36.86, , , , 
8/2/18 10:45,36.09, , , , 
8/2/18 11:00,37.32, , , , 
8/2/18 11:15,38.33, , , , 
8/2/18 11:30,38.25, , , , 
8/2/18 11:45,37.4, , , , 
8/2/18 12:00,37.86, , , , 
8/2/18 12:15,38.48, , , , 
8/2/18 12:30,39.49, , , , 
8/2/18 12:45,38.71, , , , 
8/2/18 13:00,38.02, , , , 
8/2/18 13:15,37.32, , , , 
8/2/18 13:30,36.86, , , , 
8/2/18 13:45,36.71, , , , 
8/2/18 14:00,36.47, , , , 
8/2/18 14:15,38.4, , , , 
8/2/18 14:30,40.1, , , , 
8/2/18 14:45,43.19, , , , 
8/2/18 15:00,46.51, , , , 
8/2/18 15:15,48.91, , , , 
8/2/18 15:30,47.98, , , , 
8/2/18 15:45,46.59, , , , 
8/2/18 16:00,45.12, , , , 
8/2/18 16:15,43.96, , , , 
8/2/18 16:30,42.96, , , , 
8/2/18 16:45,41.96, , , , 
8/2/18 17:00,41.11, , , , 
8/2/18 17:15,40.26, , , , 
8/2/18 17:30,39.49, , , , 
8/2/18 17:45,38.79, , , , 
8/2/18 18:00,38.25, , , , 
8/2/18 18:15,39.41, , , , 
8/2/18 18:30,41.72, , , , 
8/2/18 18:45,41.03, , , , 
8/2/18 19:00,40.18, , , , 
8/2/18 19:15,39.33, , , , 
8/2/18 19:30,39.56, , , , 
8/2/18 19:45,39.64, , , , 
8/2/18 20:00,40.8, , , , 
8/2/18 20:15,41.88, , , , 
8/2/18 20:30,42.57, , , , 
8/2/18 20:45,42.19, , , , 
8/2/18 21:00,41.49, , , , 
8/2/18 21:15,40.64, , , , 
8/2/18 21:30,39.95, , , , 
8/2/18 21:45,39.18, , , , 
8/2/18 22:00,40.1, , , , 
8/2/18 22:15,41.49, , , , 
8/2/18 22:30,40.57, , , , 
8/2/18 22:45,39.49, , , , 
8/2/18 23:00,39.18, , , , 
8/2/18 23:15,40.72, , , , 
8/2/18 23:30,41.96, , , , 
8/2/18 23:45,40.95, , , , 
8/3/18 0:00,39.79, , , , 
8/3/18 0:15,38.79, , , , 
8/3/18 0:30,39.95, , , , 
8/3/18 0:45,41.26, , , , 
8/3/18 1:00,41.34, , , , 
8/3/18 1:15,40.18, , , , 
8/3/18 1:30,39.02, , , , 
8/3/18 1:45,39.72, , , , 
8/3/18 2:00,41.03, , , , 
8/3/18 2:15,41.11, , , , 
8/3/18 2:30,39.79, , , , 
8/3/18 2:45,38.71, , , , 
8/3/18 3:00,40.03, , , , 
8/3/18 3:15,41.18, , , , 
8/3/18 3:30,40.49, , , , 
8/3/18 3:45,39.18, , , , 
8/3/18 4:00,39.33, , , , 
8/3/18 4:15,40.64, , , , 
8/3/18 4:30,40.88, , , , 
8/3/18 4:45,39.79, , , , 
8/3/18 5:00,41.11, , , , 
8/3/18 5:15,42.19, , , , 
8/3/18 5:30,41.88, , , , 
8/3/18 5:45,40.72, , , , 
8/3/18 6:00,39.56, , , , 
8/3/18 6:15,38.56, , , , 
8/3/18 6:30,38.1, , , , 
8/3/18 6:45,39.56, , , , 
8/3/18 7:00,40.64, , , , 
8/3/18 7:15,41.57, , , , 
8/3/18 7:30,42.34, , , , 
8/3/18 7:45,41.72, , , , 
8/3/18 8:00,40.18, , , , 
8/3/18 8:15,38.94, , , , 
8/3/18 8:30,38.48, , , , 
8/3/18 8:45,39.72, , , , 
8/3/18 9:00,41.11, , , , 
8/3/18 9:15,40.88, , , , 
8/3/18 9:30,39.33, , , , 
8/3/18 9:45,38.1, , , , 
8/3/18 10:00,38.87, , , , 
8/3/18 10:15,40.57, , , , 
8/3/18 10:30,41.49, , , , 
8/3/18 10:45,41.11, , , , 
8/3/18 11:00,39.49, , , , 
8/3/18 11:15,38.17, , , , 
8/3/18 11:30,38.48, , , , 
8/3/18 11:45,41.03, , , , 
8/3/18 12:00,39.79, , , , 
8/3/18 12:15,38.4, , , , 
8/3/18 12:30,38.87, , , , 
8/3/18 12:45,40.1, , , , 
8/3/18 13:00,41.11, , , , 
8/3/18 13:15,41.65, , , , 
8/3/18 13:30,40.33, , , , 
8/3/18 13:45,39.25, , , , 
8/3/18 14:00,38.25, , , , 
8/3/18 14:15,39.56, , , , 
8/3/18 14:30,40.72, , , , 
8/3/18 14:45,41.8, , , , 
8/3/18 15:00,41.18, , , , 
8/3/18 15:15,40.33, , , , 
8/3/18 15:30,39.25, , , , 
8/3/18 15:45,38.48, , , , 
8/3/18 16:00,39.95, , , , 
8/3/18 16:15,41.11, , , , 
8/3/18 16:30,41.57, , , , 
8/3/18 16:45,40.57, , , , 
8/3/18 17:00,39.49, , , , 
8/3/18 17:15,38.56, , , , 
8/3/18 17:30,39.72, , , , 
8/3/18 17:45,40.95, , , , 
8/3/18 18:00,41.42, , , , 
8/3/18 18:15,40.33, , , , 
8/3/18 18:30,39.41, , , , 
8/3/18 18:45,39.64, , , , 
8/3/18 19:00,38.71, , , , 
8/3/18 19:15,38.4, , , , 
8/3/18 19:30,39.79, , , , 
8/3/18 19:45,41.03, , , , 
8/3/18 20:00,40.72, , , , 
8/3/18 20:15,39.79, , , , 
8/3/18 20:30,38.71, , , , 
8/3/18 20:45,38.25, , , , 
8/3/18 21:00,39.64, , , , 
8/3/18 21:15,40.8, , , , 
8/3/18 21:30,40.8, , , , 
8/3/18 21:45,41.03, , , , 
8/3/18 22:00,41.96, , , , 
8/3/18 22:15,43.35, , , , 
8/3/18 22:30,43.35, , , , 
8/3/18 22:45,42.42, , , , 
8/3/18 23:00,41.26, , , , 
8/3/18 23:15,40.26, , , , 
8/3/18 23:30,39.25, , , , 
8/3/18 23:45,38.25, , , , 
8/4/18 0:00,38.48, , , , 
8/4/18 0:15,39.95, , , , 
8/4/18 0:30,41.11, , , , 
8/4/18 0:45,42.03, , , , 
8/4/18 1:00,42.88, , , , 
